eng_TAMsimp,TOTAL,qal,hif,piel,nif,hit,pual,hof,hsht,nit,htpo
PRES PART ~ PRES PERF,2,1,1,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,2,2,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,2,2,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,2,1,1,0,0,0,0,0,0,0,0
MOD may ~ MOD should,2,2,0,0,0,0,0,0,0,0,0
MOD let ~ PRES,2,1,0,0,0,1,0,0,0,0,0
MOD must ~ PRES,2,1,0,0,0,1,0,0,0,0,0
MOD let ~ MOD must,2,1,0,1,0,0,0,0,0,0,0
MOD lest ~ PRES PART,2,1,0,0,0,0,0,0,1,0,0
MOD lest ~ MOD must,2,2,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,2,2,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,1,0,1,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,1,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD should,1,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,1,1,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,1,0,0,0,1,0,0,0,0,0,0
MOD would ~ PRES PROG,1,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD is to,1,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD VB,1,1,0,0,0,0,0,0,0,0,0
MOD ~ MOD would,1,0,1,0,0,0,0,0,0,0,0
MOD would ~ TO INF,1,1,0,0,0,0,0,0,0,0,0
MOD must,1,1,0,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,1,0,0,0,0,0,0,0,0,0
MOD might ~ MOD would,1,0,0,1,0,0,0,0,0,0,0
PAST PROG ~ TO INF,1,0,0,1,0,0,0,0,0,0,0
FUT PROG,1,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD should,1,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD that be,1,0,0,0,0,0,0,0,0,1,0
PAST PERF ~ PRES PART,1,0,1,0,0,0,0,0,0,0,0
MOD could,1,1,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,1,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,1,0,0,0,0,0,0,0,0,0
MOD might,1,0,1,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,1,0,0,0,0,0,0,0,0,0
PRES ~ VB,1,0,1,0,0,0,0,0,0,0,0
MOD could ~ MOD would,1,1,0,0,0,0,0,0,0,0,0
MOD lest ~ PRES,1,1,0,0,0,0,0,0,0,0,0
HAB used to ~ PAST PROG,1,0,0,1,0,0,0,0,0,0,0
HAB used to ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0
MOD could ~ TO INF,1,1,0,0,0,0,0,0,0,0,0
IMPV ~ MOD VB,1,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,1,0,0,0,0,0,0,0,0,0
