eng_TAMsimp,Q,D,?,N
PRES,0.15,18.44,11.99,2662.0
FUT,0.07,36.52,27.14,2250.0
FUT ~ MOD shall,0.05,40.12,41.12,1726.0
IMPV ~ MOD shall,0.09,11.0,503.0,inf
PAST,0.6,2.1,30.93,43.7
FUT ~ PRES,0.12,33.5,12.35,inf
MOD must ~ MOD shall,0.12,12.0,36.56,inf
MOD is to ~ MOD shall,0.06,31.67,41.0,inf
MOD can,0.08,133.5,14.82,inf
MOD shall,0.04,35.5,72.0,inf
MOD may,0.07,19.89,61.67,inf
IMPV,0.0,inf,inf,inf
MOD shall ~ PRES,0.07,23.67,36.0,inf
MOD would,0.16,10.5,inf,18.17
PAST ~ PRES,0.18,9.0,21.0,109.0
FUT ~ MOD may,0.04,33.33,102.0,inf
PRES ~ PRES PART,0.1,23.0,18.2,inf
PRES ~ PRES PERF,0.05,21.0,inf,inf
MOD should,0.1,14.8,78.0,78.0
MOD can ~ PRES,0.06,inf,16.75,inf
FUT ~ MOD lest,0.0,inf,inf,inf
FUT ~ MOD can,0.07,31.0,31.0,inf
PRES PERF,0.05,19.33,inf,inf
MOD may ~ MOD shall,0.08,52.0,16.67,inf
PRES PART,0.07,15.33,inf,inf
IMPV ~ PRES,0.0,inf,inf,inf
TO INF,0.07,46.0,inf,22.5
MOD may ~ PRES,0.18,14.33,10.5,inf
MOD can ~ MOD shall,0.05,inf,21.0,inf
MOD should ~ PRES,0.0,inf,inf,inf
PRES ~ TO INF,0.08,40.0,19.5,inf
FUT ~ MOD would,0.0,inf,inf,inf
MOD could,0.58,1.71,inf,inf
MOD shall ~ TO INF,0.0,inf,inf,inf
MOD must,0.03,inf,35.0,inf
MOD let,0.03,inf,34.0,inf
MOD can ~ MOD may,0.06,inf,16.0,inf
PAST ~ PRES PERF,0.0,inf,inf,inf
MOD shall ~ MOD should,0.0,inf,inf,inf
MOD would ~ PAST,3.14,0.38,28.0,inf
FUT ~ TO INF,0.04,inf,26.0,inf
MOD would ~ PRES,0.1,22.0,22.0,inf
FUT ~ IMPV,0.05,20.0,inf,inf
PAST ~ PRES PART,0.91,1.33,20.0,inf
MOD shall ~ PRES PART,0.05,inf,19.0,inf
MOD should ~ TO INF,0.29,inf,17.0,5.0
MOD must ~ PRES,0.06,17.0,inf,inf
PRES ~ PRES PROG,0.23,4.33,inf,inf
MOD lest ~ MOD may,0.14,7.0,inf,inf
MOD let ~ PRES,0.25,14.0,6.5,inf
FUT ~ PRES PART,0.25,14.0,6.5,inf
FUT ~ PAST,0.07,14.0,inf,inf
MOD shall ~ PAST,0.0,inf,inf,inf
FUT ~ MOD let,0.0,inf,inf,inf
MOD lest ~ PRES,0.0,inf,inf,inf
MOD should ~ MOD would,0.27,6.0,inf,13.0
IMPV ~ MOD may,0.0,inf,inf,inf
MOD let ~ MOD shall,0.44,2.25,inf,inf
FUT ~ MOD should,0.09,inf,11.0,inf
HAB used to ~ PAST,1.0,1.0,inf,inf
MOD may ~ TO INF,0.0,inf,inf,inf
IMPV ~ MOD must,0.0,inf,inf,inf
IMPV ~ MOD let,0.0,inf,inf,inf
IMPV ~ MOD can,0.0,inf,inf,inf
MOD might,0.0,inf,inf,inf
PAST ~ TO INF,0.83,1.75,inf,10.0
MOD may ~ MOD must,0.11,9.0,inf,inf
PAST ~ PAST PERF,1.0,2.33,9.0,9.0
MOD is to,0.25,inf,4.0,inf
MOD was to ~ PAST,0.5,3.5,8.0,inf
MOD can ~ MOD should,0.0,inf,inf,inf
MOD can ~ MOD could,0.0,inf,inf,inf
MOD lest,0.0,inf,inf,inf
PAST PERF,6.0,0.17,inf,inf
FUT ~ MOD must,0.0,inf,inf,inf
MOD should ~ MOD was to,0.75,2.5,inf,6.0
MOD might ~ MOD would,0.2,5.0,inf,inf
MOD could ~ PAST,0.2,inf,inf,5.0
FUT ~ PRES PERF,0.0,inf,inf,inf
PAST ~ PAST PROG,5.0,0.5,5.0,inf
FUT going-to ~ MOD shall,0.0,inf,inf,inf
MOD lest ~ MOD might,0.0,inf,inf,inf
MOD shall ~ MOD would,0.0,inf,inf,inf
MOD let ~ MOD must,0.0,inf,inf,inf
PRES PART ~ TO INF,0.2,5.0,inf,inf
MOD is to ~ MOD may,0.2,5.0,inf,inf
MOD could ~ MOD would,0.0,inf,inf,inf
FUT ~ FUT going-to,0.0,inf,inf,inf
MOD VB ~ MOD may,0.25,inf,4.0,inf
MOD can ~ PRES PART,0.0,inf,inf,inf
MOD is to ~ MOD must,0.0,inf,inf,inf
MOD can ~ TO INF,0.0,inf,inf,inf
IMPV ~ PRES PART,0.0,inf,inf,inf
MOD lest ~ TO INF,0.0,inf,inf,inf
MOD might ~ TO INF,0.25,4.0,inf,inf
MOD may ~ PRES PART,0.25,inf,4.0,inf
MOD would ~ TO INF,0.25,inf,inf,4.0
MOD might ~ PAST,0.0,inf,inf,inf
MOD might ~ MOD should,0.25,4.0,inf,inf
MOD was to,4.0,0.25,inf,inf
?VB ~ PAST,0.0,inf,inf,inf
IMPV ~ TO INF,0.0,inf,inf,inf
PRES PERF ~ TO INF,0.0,inf,inf,inf
MOD could ~ MOD might,1.0,1.0,inf,inf
MOD can ~ PAST,0.0,inf,inf,inf
FUT ~ MOD is to,0.0,inf,inf,inf
MOD VB ~ PRES,0.0,inf,inf,inf
PAST PERF ~ PRES,0.33,3.0,inf,inf
IMPV ~ PAST,0.0,inf,inf,inf
MOD should ~ PAST,0.0,inf,inf,inf
HAB used to,3.0,1.0,inf,3.0
IMPV ~ MOD lest,0.0,inf,inf,inf
MOD let ~ MOD may,0.0,inf,inf,inf
FUT ~ PRES PROG,0.0,inf,inf,inf
MOD shall ~ PRES PERF,0.0,inf,inf,inf
MOD would ~ PRES PART,0.0,inf,inf,inf
FUT ~ MOD that be,0.0,inf,inf,inf
MOD can ~ MOD let,0.0,inf,inf,inf
PAST PROG,inf,0.0,inf,inf
MOD can ~ MOD might,0.0,inf,inf,inf
MOD lest ~ MOD would,0.5,2.0,inf,inf
MOD could ~ MOD must,0.0,inf,inf,inf
MOD could ~ MOD should,0.0,inf,inf,inf
IMPV ~ MOD is to,0.0,inf,inf,inf
PRES PART ~ PRES PERF,0.0,inf,inf,inf
MOD may ~ MOD might,0.0,inf,inf,inf
FUT PROG ~ PRES,0.5,inf,2.0,inf
MOD is to ~ PRES PART,0.0,inf,inf,inf
PRES ~ PRES do,0.0,inf,inf,inf
MOD may ~ PAST,0.0,inf,inf,inf
MOD lest ~ MOD should,0.0,inf,inf,inf
MOD should ~ PRES PERF,0.0,inf,inf,inf
MOD lest ~ MOD shall,0.0,inf,inf,inf
IMPV ~ MOD should,0.0,inf,inf,inf
MOD is to ~ TO INF,0.0,inf,inf,inf
MOD let ~ PAST,0.0,inf,inf,inf
MOD need not ~ PRES,0.0,inf,inf,inf
MOD need not ~ MOD shall,0.0,inf,inf,inf
