,WQt0,WQtX,MSyn
FUT,1.64,0.61,0.0
FUT ~ MOD shall,0.39,2.52,8.41
PRES,1.04,0.95,6.02
IMPV ~ MOD shall,20.24,0.05,0.0
IMPV,32.99,0.03,0.0
MOD is to ~ MOD shall,0.45,2.21,0.0
MOD shall,0.24,4.18,0.0
PAST,0.89,1.13,0.0
MOD must ~ MOD shall,0.73,1.37,0.0
FUT ~ PRES,1.14,0.88,0.0
MOD may,1.32,0.76,0.0
PAST ~ PRES,0.27,3.7,0.0
FUT ~ MOD may,1.34,0.75,0.0
MOD shall ~ PRES,0.63,1.59,0.0
PRES PERF,0.92,1.09,0.0
MOD shall ~ TO INF,7.27,0.14,0.0
MOD would,0.8,1.25,0.0
TO INF,inf,0.0,0.0
MOD would ~ PAST,0.57,1.75,0.0
FUT ~ MOD lest,1.7,0.59,0.0
PRES ~ PRES PERF,0.43,2.31,0.0
MOD may ~ TO INF,5.38,0.19,0.0
MOD let,5.38,0.19,0.0
FUT ~ IMPV,inf,0.0,0.0
PRES ~ PRES PART,1.34,0.75,0.0
MOD may ~ MOD shall,2.15,0.47,0.0
PAST ~ PRES PART,inf,0.0,0.0
MOD may ~ PRES,0.49,2.05,0.0
PRES ~ TO INF,4.03,0.25,0.0
MOD shall ~ PRES PART,4.03,0.25,0.0
FUT ~ TO INF,3.76,0.27,0.0
IMPV ~ MOD let,3.49,0.29,0.0
IMPV ~ PRES,3.22,0.31,0.0
FUT ~ PRES PART,inf,0.0,0.0
PAST ~ PRES PERF,0.8,1.25,0.0
FUT ~ MOD let,inf,0.0,0.0
FUT ~ MOD would,0.71,1.41,0.0
IMPV ~ TO INF,inf,0.0,0.0
MOD can ~ MOD may,inf,0.0,0.0
MOD can ~ MOD shall,inf,0.0,0.0
PRES PART,inf,0.0,0.0
MOD shall ~ PAST,0.33,3.0,0.0
MOD let ~ MOD shall,0.54,1.87,0.0
MOD let ~ MOD may,0.8,1.25,0.0
MOD is to ~ PRES,1.88,0.53,0.0
MOD is to ~ MOD let,0.45,2.25,0.0
MOD lest ~ MOD may,inf,0.0,0.0
MOD is to ~ PAST,inf,0.0,0.0
FUT ~ PAST,1.61,0.62,0.0
PAST ~ PAST PROG,0.27,3.75,0.0
MOD shall ~ PRES PERF,1.34,0.75,0.0
