eng_TAMsimp,Q,D,?,N
PRES,1.15,19.68,13.15,2696.0
FUT,1.06,41.28,31.48,2518.0
FUT ~ MOD shall,1.05,40.2,43.15,1769.0
IMPV,1.01,226.0,678.0,inf
MOD let,1.05,92.5,29.21,inf
IMPV ~ MOD shall,1.09,12.14,510.0,inf
PAST,1.59,3.14,32.29,45.2
FUT ~ PRES,1.11,36.92,14.29,inf
MOD may,1.03,44.67,134.0,inf
MOD must ~ MOD shall,1.11,13.12,37.89,inf
MOD is to ~ MOD shall,1.06,32.78,42.14,inf
MOD can,1.08,135.5,15.94,inf
MOD shall,1.04,36.83,73.67,inf
FUT ~ MOD may,1.02,55.0,165.0,inf
MOD shall ~ PRES,1.07,25.5,38.25,inf
IMPV ~ MOD let,1.01,inf,140.0,inf
MOD would,1.15,11.42,inf,22.83
MOD let ~ MOD may,1.01,inf,inf,132.0
PAST ~ PRES,1.18,10.36,22.8,114.0
PRES ~ PRES PART,1.1,24.25,19.4,inf
PRES ~ PRES PERF,1.05,22.0,inf,inf
MOD should,1.09,16.8,84.0,84.0
TO INF,1.05,39.5,inf,39.5
FUT ~ MOD lest,1.0,inf,inf,inf
MOD can ~ PRES,1.06,inf,18.0,inf
MOD can ~ MOD may,1.03,inf,34.5,inf
MOD may ~ PRES,1.11,22.67,17.0,inf
FUT ~ MOD can,1.06,33.5,33.5,inf
PRES PERF,1.05,20.33,inf,inf
IMPV ~ PRES,1.0,inf,inf,inf
MOD may ~ MOD shall,1.07,58.0,19.33,inf
PRES PART,1.06,16.67,inf,inf
MOD can ~ MOD shall,1.05,inf,23.0,inf
FUT ~ MOD would,1.0,inf,inf,inf
MOD may ~ TO INF,1.0,inf,inf,inf
MOD should ~ PRES,1.0,inf,inf,inf
PRES ~ TO INF,1.07,45.0,22.5,inf
MOD could,1.52,2.93,inf,inf
MOD must,1.03,inf,40.0,inf
MOD shall ~ TO INF,1.0,inf,inf,inf
PAST ~ PRES PERF,1.0,inf,inf,inf
IMPV ~ MOD may,1.0,inf,inf,inf
FUT ~ MOD let,1.0,inf,inf,inf
FUT ~ TO INF,1.03,inf,31.0,inf
MOD shall ~ MOD should,1.0,inf,inf,inf
MOD let ~ PRES,1.12,29.0,14.5,inf
MOD would ~ PAST,4.14,1.38,29.0,inf
FUT ~ IMPV,1.04,24.0,inf,inf
MOD would ~ PRES,1.09,24.0,24.0,inf
MOD let ~ TO INF,1.0,inf,inf,inf
PAST ~ PRES PART,1.91,2.33,21.0,inf
MOD shall ~ PRES PART,1.05,inf,21.0,inf
MOD must ~ PRES,1.06,19.0,inf,inf
