eng_TAMsimp,prose,prophetic,poetry,instruction,list
PRES ~ PRES PART,2.82,2.73,5.72,10.17,183.0
PAST ~ PAST PROG,1.21,5.72,inf,inf,inf
PAST ~ PRES PART,1.54,3.92,47.0,inf,13.43
PRES ~ PRES PROG,1.96,2.84,22.0,12.57,88.0
PAST ~ PRES,3.59,3.21,3.05,20.33,30.5
FUT ~ PRES,3.0,2.0,13.5,10.8,inf
FUT ~ MOD shall,1.55,2.83,inf,inf,inf
PRES ~ PRES PERF,3.43,3.0,3.0,24.0,inf
PAST PROG ~ PRES PART,1.22,6.5,39.0,inf,inf
FUT ~ FUT going-to,1.89,2.12,inf,inf,inf
PAST ~ PRES PERF,2.07,2.82,7.75,31.0,inf
PAST ~ PAST PERF,1.18,13.0,inf,26.0,26.0
PRES PART ~ PRES PROG,1.39,4.17,25.0,inf,inf
FUT ~ PRES PROG,4.4,1.29,inf,inf,inf
FUT ~ PRES PART,6.0,1.64,6.0,18.0,inf
PAST ~ TO INF,1.14,16.0,inf,inf,16.0
FUT ~ TO INF,4.0,1.5,12.0,inf,inf
MOD may ~ PRES,2.4,4.0,4.0,12.0,inf
FUT going-to ~ PRES,1.83,3.67,inf,5.5,inf
MOD could ~ PAST,2.2,inf,inf,inf,1.83
FUT going-to ~ PRES PROG,5.0,1.67,inf,5.0,inf
PRES ~ TO INF,3.33,5.0,2.0,inf,inf
PRES PART ~ TO INF,3.33,2.0,10.0,10.0,inf
IMPV ~ PRES,2.67,2.67,8.0,8.0,inf
MOD is to ~ PRES,4.0,4.0,4.0,4.0,inf
MOD can ~ PRES,2.33,7.0,inf,3.5,7.0
PRES PART ~ PRES PERF,3.0,1.5,inf,inf,inf
MOD shall ~ PRES,5.0,2.5,5.0,5.0,inf
PAST PERF ~ PAST PROG,1.67,2.5,inf,inf,inf
MOD would ~ PRES,1.0,inf,inf,inf,inf
FUT ~ MOD must,2.0,inf,2.0,inf,inf
MOD would ~ PAST,1.0,inf,inf,inf,inf
MOD is to ~ MOD shall,4.0,inf,inf,2.0,4.0
PAST ~ PRES PROG,inf,1.0,inf,inf,inf
IMPV ~ MOD may,1.0,inf,inf,inf,inf
FUT going-to ~ MOD shall,2.0,2.0,inf,inf,inf
PAST ~ PAST PERF PROG,1.0,inf,inf,inf,inf
PAST PROG ~ PRES,inf,4.0,2.0,4.0,inf
MOD is to ~ PRES PART,inf,1.5,inf,3.0,inf
FUT ~ MOD is to,1.0,inf,inf,inf,inf
PRES PERF PROG ~ PRES PROG,1.5,inf,3.0,inf,inf
MOD can ~ MOD shall,3.0,1.5,inf,inf,inf
FUT PROG ~ PRES PART,1.0,inf,inf,inf,inf
MOD shall ~ TO INF,inf,1.5,inf,3.0,inf
MOD can ~ TO INF,inf,1.5,3.0,inf,inf
MOD should ~ MOD would,3.0,1.5,inf,inf,inf
PRES ~ PRES PERF PROG,3.0,1.5,inf,inf,inf
MOD should ~ TO INF,1.0,inf,inf,inf,inf
MOD let ~ PRES,3.0,3.0,inf,3.0,inf
MOD was to ~ PAST,1.5,inf,inf,inf,3.0
PRES PERF ~ PRES PROG,1.5,3.0,inf,inf,inf
PRES ~ PRES PROG keep,inf,1.0,inf,inf,inf
MOD must ~ MOD shall,1.0,inf,inf,inf,inf
MOD may ~ PAST,2.0,inf,2.0,inf,inf
MOD is to ~ TO INF,inf,inf,inf,1.0,inf
MOD may ~ TO INF,inf,inf,1.0,inf,inf
PAST PERF PROG ~ PAST PROG,1.0,inf,inf,inf,inf
MOD must ~ PRES,1.0,inf,inf,inf,inf
FUT going-to ~ PRES PART,1.0,inf,inf,inf,inf
PRES PART ~ PRES PERF PROG,1.0,inf,inf,inf,inf
FUT ~ PAST PROG,inf,1.0,inf,inf,inf
MOD can ~ PRES PART,1.0,inf,inf,inf,inf
FUT ~ MOD may,inf,inf,1.0,inf,inf
MOD was to ~ PAST PROG,1.0,inf,inf,inf,inf
PAST PERF ~ PRES PART,1.0,inf,inf,inf,inf
PAST PERF ~ PRES,2.0,2.0,inf,inf,inf
PAST PERF ~ PAST PERF PROG,1.0,inf,inf,inf,inf
MOD was to ~ TO INF,1.0,inf,inf,inf,inf
HAB used to ~ PAST PERF,1.0,inf,inf,inf,inf
TO INF ~ VB,1.0,inf,inf,inf,inf
HAB used to ~ PAST,1.0,inf,inf,inf,inf
FUT ~ VB,1.0,inf,inf,inf,inf
FUT ~ PAST,1.0,inf,inf,inf,inf
FUT ~ MOD would,inf,inf,1.0,inf,inf
FUT ~ MOD can,inf,inf,1.0,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf,inf
IMPV ~ PAST,inf,inf,inf,inf,1.0
MOD shall ~ PRES PART,inf,1.0,inf,inf,inf
IMPV ~ PRES PROG,1.0,inf,inf,inf,inf
MOD should ~ PRES PERF,inf,1.0,inf,inf,inf
PRES PROG ~ TO INF,inf,1.0,inf,inf,inf
PRES PROG ~ PRES PROG keep,inf,1.0,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf,inf
PRES PERF ~ PRES PERF PROG,1.0,inf,inf,inf,inf
PAST ~ VB,inf,1.0,inf,inf,inf
PAST PROG ~ TO INF,1.0,inf,inf,inf,inf
MOD would ~ PRES PROG,1.0,inf,inf,inf,inf
MOD would ~ PRES PERF,inf,1.0,inf,inf,inf
MOD was to ~ PRES PART,1.0,inf,inf,inf,inf
MOD that VB ~ PRES PART,1.0,inf,inf,inf,inf
MOD should ~ PRES,inf,1.0,inf,inf,inf
MOD can ~ MOD may,inf,1.0,inf,inf,inf
MOD should ~ PAST,1.0,inf,inf,inf,inf
MOD should ~ MOD was to,1.0,inf,inf,inf,inf
MOD shall ~ PRES PERF,inf,1.0,inf,inf,inf
MOD shall ~ PAST,1.0,inf,inf,inf,inf
MOD need not ~ TO INF,inf,1.0,inf,inf,inf
MOD must ~ PRES PART,1.0,inf,inf,inf,inf
MOD may ~ PRES PART,inf,inf,1.0,inf,inf
MOD let ~ TO INF,1.0,inf,inf,inf,inf
MOD is to ~ MOD would,1.0,inf,inf,inf,inf
MOD could ~ PRES PART,inf,inf,inf,1.0,inf
FUT PROG ~ MOD is to,1.0,inf,inf,inf,inf
