eng_TAMsimp,Q,D,N,?
FUT,1249,35,1,45
FUT ~ MOD shall,999,21,0,42
PRES,427,44,1,20
IMPV ~ MOD shall,407,9,0,2
IMPV,344,0,0,0
MOD is to ~ MOD shall,287,3,0,18
PAST,107,11,81,7
MOD shall,170,22,0,13
MOD must ~ MOD shall,145,5,0,3
FUT ~ PRES,100,2,1,7
MOD may,63,3,0,0
PAST ~ PRES,19,0,45,0
MOD shall ~ PRES,55,0,0,1
FUT ~ MOD may,51,2,0,1
PRES PERF,35,0,0,0
MOD shall ~ TO INF,28,0,0,0
PRES ~ PRES PART,21,0,4,2
PRES ~ PRES PERF,25,1,0,0
MOD would,8,8,9,0
TO INF,23,2,0,0
FUT ~ MOD lest,23,1,0,0
MOD would ~ PAST,6,7,11,0
MOD may ~ TO INF,22,1,0,0
MOD may ~ PRES,20,1,0,0
MOD let,20,1,0,0
FUT ~ IMPV,19,0,0,0
PRES ~ TO INF,19,0,0,0
MOD may ~ MOD shall,17,1,0,0
PAST ~ PRES PART,5,1,11,0
FUT ~ TO INF,16,0,0,0
MOD shall ~ PRES PART,15,0,0,1
IMPV ~ PRES,14,1,0,0
IMPV ~ MOD let,14,0,0,0
PRES PART,8,3,3,0
IMPV ~ TO INF,13,0,0,0
PAST ~ PRES PERF,13,0,0,0
FUT ~ MOD let,12,0,0,0
FUT ~ PRES PART,12,0,0,0
MOD can ~ MOD may,11,0,0,0
FUT ~ MOD would,11,0,0,0
MOD can ~ MOD shall,9,1,0,0
MOD shall ~ PAST,8,1,0,0
MOD let ~ MOD shall,9,0,0,0
MOD is to ~ PRES,7,1,0,0
MOD is to ~ MOD let,8,0,0,0
MOD let ~ MOD may,6,0,2,0
FUT ~ PAST,7,1,0,0
MOD is to ~ PAST,5,0,0,2
MOD lest ~ MOD may,7,0,0,0
PAST ~ TO INF,3,0,3,1
MOD lest ~ TO INF,7,0,0,0
PAST ~ PAST PROG,2,1,4,0
MOD shall ~ PRES PERF,5,1,0,0
FUT ~ PRES PERF,6,0,0,0
IMPV ~ MOD lest,5,0,0,0
MOD shall ~ MOD would,5,0,0,0
MOD may ~ MOD must,5,0,0,0
MOD can,5,0,0,0
MOD would ~ PRES,5,0,0,0
IMPV ~ PAST,5,0,0,0
MOD should ~ PRES,4,0,0,0
HAB used to ~ PAST,0,1,3,0
IMPV ~ MOD may,3,0,0,1
IMPV ~ MOD must,4,0,0,0
PAST PERF,1,0,3,0
MOD shall ~ MOD should,4,0,0,0
FUT ~ MOD can,3,0,0,1
MOD let ~ TO INF,4,0,0,0
FUT ~ FUT PERF,4,0,0,0
MOD should,3,0,1,0
MOD could ~ MOD may,3,0,0,0
PAST ~ PAST PERF,0,0,3,0
MOD can ~ PRES,3,0,0,0
MOD should ~ TO INF,3,0,0,0
IMPV ~ MOD would,1,0,2,0
MOD VB ~ PRES,3,0,0,0
MOD is to ~ TO INF,2,1,0,0
HAB used to ~ MOD would,0,1,2,0
HAB used to,1,1,1,0
MOD was to,0,1,2,0
FUT ~ FUT going-to,3,0,0,0
IMPV ~ MOD is to,2,0,0,0
MOD that be ~ TO INF,2,0,0,0
MOD was to ~ PAST,0,0,2,0
PRES ~ PRES PROG,2,0,0,0
FUT ~ MOD must,2,0,0,0
IMPV ~ PRES PART,2,0,0,0
MOD would ~ PRES PART,0,2,0,0
FUT going-to ~ MOD shall,2,0,0,0
PRES PART ~ PRES PERF,2,0,0,0
MOD may ~ PRES PART,2,0,0,0
MOD can ~ MOD let,2,0,0,0
MOD lest ~ MOD might,2,0,0,0
MOD may ~ MOD should,2,0,0,0
MOD let ~ PRES,2,0,0,0
MOD must ~ PRES,1,0,0,1
MOD let ~ MOD must,2,0,0,0
MOD lest ~ PRES PART,2,0,0,0
MOD lest ~ MOD must,2,0,0,0
MOD must ~ PRES PART,2,0,0,0
MOD is to ~ MOD may,1,0,0,0
MOD let ~ PRES PART,1,0,0,0
MOD should ~ MOD would,1,0,0,0
MOD let ~ MOD should,1,0,0,0
MOD let ~ MOD would,1,0,0,0
MOD can ~ TO INF,1,0,0,0
MOD would ~ PRES PROG,1,0,0,0
FUT ~ MOD is to,1,0,0,0
FUT ~ MOD VB,1,0,0,0
MOD ~ MOD would,0,1,0,0
MOD would ~ TO INF,1,0,0,0
MOD must,0,1,0,0
FUT ~ FUT PROG,1,0,0,0
MOD might ~ MOD would,1,0,0,0
PAST PROG ~ TO INF,0,1,0,0
FUT PROG,1,0,0,0
FUT ~ MOD should,1,0,0,0
FUT ~ MOD that be,1,0,0,0
PAST PERF ~ PRES PART,0,0,1,0
MOD could,1,0,0,0
PRES PERF ~ TO INF,1,0,0,0
MOD let ~ MOD might,1,0,0,0
MOD might,1,0,0,0
MOD quest must ~ MOD shall,1,0,0,0
PRES ~ VB,1,0,0,0
MOD could ~ MOD would,1,0,0,0
MOD lest ~ PRES,1,0,0,0
HAB used to ~ PAST PROG,0,1,0,0
HAB used to ~ PRES PART,0,0,1,0
MOD could ~ TO INF,1,0,0,0
IMPV ~ MOD VB,1,0,0,0
MOD is to ~ MOD lest,1,0,0,0
MOD is to ~ PRES PART,1,0,0,0
MOD VB ~ MOD can,1,0,0,0
