eng_TAMsimp,Q,D,N,?
FUT,1.06,38.0,1330.0,29.56
FUT ~ MOD shall,1.06,50.57,inf,25.29
PRES,1.15,11.18,492.0,24.6
IMPV ~ MOD shall,1.03,46.44,inf,209.0
IMPV,1.0,inf,inf,inf
MOD is to ~ MOD shall,1.07,102.67,inf,17.11
PAST,1.93,18.73,2.54,29.43
MOD shall,1.21,9.32,inf,15.77
MOD must ~ MOD shall,1.06,30.6,inf,51.0
FUT ~ PRES,1.1,55.0,110.0,15.71
MOD may,1.05,22.0,inf,inf
PAST ~ PRES,3.37,inf,1.42,inf
MOD shall ~ PRES,1.02,inf,inf,56.0
FUT ~ MOD may,1.06,27.0,inf,54.0
PRES PERF,1.0,inf,inf,inf
MOD shall ~ TO INF,1.0,inf,inf,inf
PRES ~ PRES PART,1.29,inf,6.75,13.5
PRES ~ PRES PERF,1.04,26.0,inf,inf
MOD would,3.12,3.12,2.78,inf
TO INF,1.09,12.5,inf,inf
FUT ~ MOD lest,1.04,24.0,inf,inf
MOD would ~ PAST,4.0,3.43,2.18,inf
MOD may ~ TO INF,1.05,23.0,inf,inf
MOD may ~ PRES,1.05,21.0,inf,inf
MOD let,1.05,21.0,inf,inf
FUT ~ IMPV,1.0,inf,inf,inf
PRES ~ TO INF,1.0,inf,inf,inf
MOD may ~ MOD shall,1.06,18.0,inf,inf
PAST ~ PRES PART,3.4,17.0,1.55,inf
FUT ~ TO INF,1.0,inf,inf,inf
MOD shall ~ PRES PART,1.07,inf,inf,16.0
IMPV ~ PRES,1.07,15.0,inf,inf
IMPV ~ MOD let,1.0,inf,inf,inf
PRES PART,1.75,4.67,4.67,inf
IMPV ~ TO INF,1.0,inf,inf,inf
PAST ~ PRES PERF,1.0,inf,inf,inf
FUT ~ MOD let,1.0,inf,inf,inf
FUT ~ PRES PART,1.0,inf,inf,inf
MOD can ~ MOD may,1.0,inf,inf,inf
FUT ~ MOD would,1.0,inf,inf,inf
MOD can ~ MOD shall,1.11,10.0,inf,inf
MOD shall ~ PAST,1.12,9.0,inf,inf
MOD let ~ MOD shall,1.0,inf,inf,inf
MOD is to ~ PRES,1.14,8.0,inf,inf
MOD is to ~ MOD let,1.0,inf,inf,inf
MOD let ~ MOD may,1.33,inf,4.0,inf
FUT ~ PAST,1.14,8.0,inf,inf
MOD is to ~ PAST,1.4,inf,inf,3.5
MOD lest ~ MOD may,1.0,inf,inf,inf
PAST ~ TO INF,2.33,inf,2.33,7.0
MOD lest ~ TO INF,1.0,inf,inf,inf
PAST ~ PAST PROG,3.5,7.0,1.75,inf
MOD shall ~ PRES PERF,1.2,6.0,inf,inf
FUT ~ PRES PERF,1.0,inf,inf,inf
IMPV ~ MOD lest,1.0,inf,inf,inf
MOD shall ~ MOD would,1.0,inf,inf,inf
MOD may ~ MOD must,1.0,inf,inf,inf
MOD can,1.0,inf,inf,inf
MOD would ~ PRES,1.0,inf,inf,inf
IMPV ~ PAST,1.0,inf,inf,inf
MOD should ~ PRES,1.0,inf,inf,inf
HAB used to ~ PAST,inf,4.0,1.33,inf
IMPV ~ MOD may,1.33,inf,inf,4.0
IMPV ~ MOD must,1.0,inf,inf,inf
PAST PERF,4.0,inf,1.33,inf
MOD shall ~ MOD should,1.0,inf,inf,inf
FUT ~ MOD can,1.33,inf,inf,4.0
MOD let ~ TO INF,1.0,inf,inf,inf
FUT ~ FUT PERF,1.0,inf,inf,inf
MOD should,1.33,inf,4.0,inf
MOD could ~ MOD may,1.0,inf,inf,inf
PAST ~ PAST PERF,inf,inf,1.0,inf
MOD can ~ PRES,1.0,inf,inf,inf
MOD should ~ TO INF,1.0,inf,inf,inf
IMPV ~ MOD would,3.0,inf,1.5,inf
MOD VB ~ PRES,1.0,inf,inf,inf
MOD is to ~ TO INF,1.5,3.0,inf,inf
HAB used to ~ MOD would,inf,3.0,1.5,inf
HAB used to,3.0,3.0,3.0,inf
MOD was to,inf,3.0,1.5,inf
FUT ~ FUT going-to,1.0,inf,inf,inf
IMPV ~ MOD is to,1.0,inf,inf,inf
MOD that be ~ TO INF,1.0,inf,inf,inf
MOD was to ~ PAST,inf,inf,1.0,inf
PRES ~ PRES PROG,1.0,inf,inf,inf
FUT ~ MOD must,1.0,inf,inf,inf
IMPV ~ PRES PART,1.0,inf,inf,inf
MOD would ~ PRES PART,inf,1.0,inf,inf
FUT going-to ~ MOD shall,1.0,inf,inf,inf
PRES PART ~ PRES PERF,1.0,inf,inf,inf
MOD may ~ PRES PART,1.0,inf,inf,inf
MOD can ~ MOD let,1.0,inf,inf,inf
MOD lest ~ MOD might,1.0,inf,inf,inf
MOD may ~ MOD should,1.0,inf,inf,inf
MOD let ~ PRES,1.0,inf,inf,inf
MOD must ~ PRES,2.0,inf,inf,2.0
MOD let ~ MOD must,1.0,inf,inf,inf
MOD lest ~ PRES PART,1.0,inf,inf,inf
MOD lest ~ MOD must,1.0,inf,inf,inf
MOD must ~ PRES PART,1.0,inf,inf,inf
MOD is to ~ MOD may,1.0,inf,inf,inf
MOD let ~ PRES PART,1.0,inf,inf,inf
MOD should ~ MOD would,1.0,inf,inf,inf
