,SBH,LBH
FUT,0.32,-0.32
FUT ~ MOD shall,-10.04,10.04
IMPV ~ MOD shall,12.94,-12.94
MOD is to ~ MOD shall,4.88,-4.88
PRES,-1.46,1.46
IMPV,-0.76,0.76
MOD shall,6.32,-6.32
MOD must ~ MOD shall,4.63,-4.63
PAST,-7.38,7.38
MOD may,-0.0,0.0
PAST ~ PRES,1.31,-1.31
FUT ~ PRES,0.24,-0.24
MOD shall ~ PRES,0.76,-0.76
FUT ~ MOD may,-0.0,0.0
MOD shall ~ TO INF,-0.0,0.0
MOD may ~ TO INF,-0.17,0.17
PRES ~ PRES PERF,-0.18,0.18
PRES PERF,-3.26,3.26
MOD would ~ PAST,0.4,-0.4
MOD would,-0.18,0.18
PRES ~ PRES PART,-0.19,0.19
TO INF,-0.47,0.47
MOD let,-1.01,1.01
MOD may ~ MOD shall,0.21,-0.21
MOD shall ~ PRES PART,0.21,-0.21
MOD may ~ PRES,-0.0,0.0
IMPV ~ MOD let,0.21,-0.21
PAST ~ PRES PART,-0.59,0.59
PRES ~ TO INF,-0.63,0.63
FUT ~ MOD lest,-0.21,0.21
PRES PART,-0.63,0.63
IMPV ~ PRES,-0.0,0.0
MOD can ~ MOD may,-0.75,0.75
MOD can ~ MOD shall,-0.0,0.0
MOD is to ~ MOD let,-0.0,0.0
FUT ~ MOD would,-0.35,0.35
FUT ~ TO INF,-0.0,0.0
IMPV ~ TO INF,-0.0,0.0
MOD is to ~ PRES,-0.0,0.0
MOD let ~ MOD shall,-0.0,0.0
FUT ~ IMPV,-0.0,0.0
MOD lest ~ TO INF,-0.0,0.0
MOD is to ~ PAST,-0.0,0.0
FUT ~ PAST,-1.37,1.37
FUT ~ PRES PART,-0.51,0.51
MOD let ~ MOD may,-0.0,0.0
PAST ~ PAST PROG,-0.51,0.51
MOD may ~ MOD must,-0.0,0.0
MOD shall ~ MOD would,-0.0,0.0
IMPV ~ PAST,-0.0,0.0
MOD shall ~ MOD should,-0.0,0.0
HAB used to ~ PAST,-0.0,0.0
PAST ~ TO INF,-0.6,0.6
MOD shall ~ PAST,-0.0,0.0
FUT ~ MOD let,-0.0,0.0
IMPV ~ MOD must,-0.0,0.0
MOD let ~ TO INF,-0.0,0.0
IMPV ~ MOD lest,-0.0,0.0
HAB used to ~ MOD would,-0.0,0.0
MOD can,-0.7,0.7
IMPV ~ MOD would,-0.0,0.0
MOD is to ~ TO INF,-0.0,0.0
IMPV ~ MOD may,-0.0,0.0
PAST ~ PRES PERF,-3.46,3.46
MOD would ~ PRES,-0.0,0.0
MOD should ~ PRES,-0.0,0.0
PAST PERF,-0.7,0.7
MOD was to,-0.0,0.0
MOD shall ~ PRES PERF,-0.0,0.0
MOD should,-1.85,1.85
MOD lest ~ MOD might,-0.0,0.0
PAST ~ PAST PERF,-0.0,0.0
IMPV ~ MOD is to,-0.0,0.0
FUT ~ PRES PERF,-0.0,0.0
MOD that be ~ TO INF,-0.0,0.0
MOD VB ~ PRES,-0.0,0.0
FUT ~ MOD must,-0.0,0.0
PRES ~ PRES PROG,-0.0,0.0
MOD was to ~ PAST,-0.87,0.87
FUT ~ FUT PERF,-0.0,0.0
FUT going-to ~ MOD shall,-0.0,0.0
IMPV ~ PRES PART,-0.0,0.0
MOD must ~ PRES PART,-0.0,0.0
MOD let ~ PRES,-0.0,0.0
MOD can ~ PRES,-0.0,0.0
MOD lest ~ MOD must,-0.0,0.0
MOD would ~ PRES PART,-0.0,0.0
MOD could ~ MOD may,-0.0,0.0
MOD lest ~ PRES PART,-0.0,0.0
MOD can ~ MOD let,-0.0,0.0
MOD let ~ PRES PART,-1.15,1.15
MOD is to ~ PRES PART,-0.0,0.0
FUT ~ FUT PROG,-0.0,0.0
FUT ~ FUT going-to,-0.0,0.0
MOD would ~ PRES PROG,-0.0,0.0
FUT ~ MOD VB,-0.0,0.0
FUT ~ MOD can,-0.0,0.0
MOD might,-0.0,0.0
MOD lest ~ PRES,-0.0,0.0
MOD let ~ MOD might,-1.15,1.15
MOD let ~ MOD must,-0.0,0.0
MOD is to ~ MOD may,-1.15,1.15
PRES PERF ~ TO INF,-0.0,0.0
FUT ~ MOD should,-0.0,0.0
FUT ~ MOD that be,-0.0,0.0
FUT ~ MOD is to,-0.0,0.0
MOD let ~ MOD would,-1.15,1.15
MOD could ~ MOD would,-1.15,1.15
IMPV ~ MOD VB,-0.0,0.0
MOD might ~ MOD would,-0.0,0.0
MOD must,-0.0,0.0
PAST PROG ~ TO INF,-0.0,0.0
MOD must ~ PRES,-0.0,0.0
MOD lest ~ MOD may,-0.0,0.0
MOD let ~ MOD should,-0.0,0.0
MOD quest must ~ MOD shall,-0.0,0.0
MOD ~ MOD would,-0.0,0.0
HAB used to ~ PAST PROG,-0.0,0.0
PAST PERF ~ PRES PART,-1.15,1.15
MOD may ~ PRES PART,-1.15,1.15
HAB used to,-0.0,0.0
MOD could,-0.0,0.0
MOD VB ~ MOD can,-0.0,0.0
MOD could ~ TO INF,-1.15,1.15
