period,genre,domain2,TOTAL,FUT,FUT ~ MOD shall,IMPV ~ MOD shall,MOD is to ~ MOD shall,PRES,IMPV,MOD shall,MOD must ~ MOD shall,PAST,MOD may,PAST ~ PRES,FUT ~ PRES,MOD shall ~ PRES,FUT ~ MOD may,MOD shall ~ TO INF,MOD may ~ TO INF,PRES ~ PRES PERF,PRES PERF,MOD would ~ PAST,MOD would,PRES ~ PRES PART,TO INF,MOD let,MOD may ~ MOD shall,MOD shall ~ PRES PART,MOD may ~ PRES,IMPV ~ MOD let,PAST ~ PRES PART,PRES ~ TO INF,FUT ~ MOD lest,PRES PART,IMPV ~ PRES,MOD can ~ MOD may,MOD can ~ MOD shall,MOD is to ~ MOD let,FUT ~ MOD would,FUT ~ TO INF,IMPV ~ TO INF,MOD is to ~ PRES,MOD let ~ MOD shall,FUT ~ IMPV,MOD lest ~ TO INF,MOD is to ~ PAST,FUT ~ PAST,FUT ~ PRES PART,MOD let ~ MOD may,PAST ~ PAST PROG,MOD may ~ MOD must,MOD shall ~ MOD would,IMPV ~ PAST,MOD shall ~ MOD should,HAB used to ~ PAST,PAST ~ TO INF,MOD shall ~ PAST,FUT ~ MOD let,IMPV ~ MOD must,MOD let ~ TO INF,IMPV ~ MOD lest,HAB used to ~ MOD would,MOD can,IMPV ~ MOD would,MOD is to ~ TO INF,IMPV ~ MOD may,PAST ~ PRES PERF,MOD would ~ PRES,MOD should ~ PRES,PAST PERF,MOD was to,MOD shall ~ PRES PERF,MOD should,MOD lest ~ MOD might,PAST ~ PAST PERF,IMPV ~ MOD is to,FUT ~ PRES PERF,MOD that be ~ TO INF,MOD VB ~ PRES,FUT ~ MOD must,PRES ~ PRES PROG,MOD was to ~ PAST,FUT ~ FUT PERF,FUT going-to ~ MOD shall,IMPV ~ PRES PART,MOD must ~ PRES PART,MOD let ~ PRES,MOD can ~ PRES,MOD lest ~ MOD must,MOD would ~ PRES PART,MOD could ~ MOD may,MOD lest ~ PRES PART,MOD can ~ MOD let,MOD let ~ PRES PART,MOD is to ~ PRES PART,FUT ~ FUT PROG,FUT ~ FUT going-to,MOD would ~ PRES PROG,FUT ~ MOD VB,FUT ~ MOD can,MOD might,MOD lest ~ PRES,MOD let ~ MOD might,MOD let ~ MOD must,MOD is to ~ MOD may,PRES PERF ~ TO INF,FUT ~ MOD should,FUT ~ MOD that be,FUT ~ MOD is to,MOD let ~ MOD would,MOD could ~ MOD would,IMPV ~ MOD VB,MOD might ~ MOD would,MOD must,PAST PROG ~ TO INF,MOD must ~ PRES,MOD lest ~ MOD may,MOD let ~ MOD should,MOD quest must ~ MOD shall,MOD ~ MOD would,HAB used to ~ PAST PROG,PAST PERF ~ PRES PART,MOD may ~ PRES PART,HAB used to,MOD could,MOD VB ~ MOD can,MOD could ~ TO INF
LBH,prose,N,16,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
LBH,poetry,Q,10,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,N,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prose,?,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prophetic,Q,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,Q,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,?,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,N,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,D,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
