eng_TAMsimp,x,Wx,Ø,W
PRES,1627,544,401,104
FUT,1210,593,381,168
FUT ~ MOD shall,859,613,191,84
IMPV,377,185,27,12
IMPV ~ MOD shall,315,168,24,0
PAST,184,113,122,28
FUT ~ PRES,231,125,52,21
MOD let,60,35,184,88
MOD must ~ MOD shall,196,95,45,2
MOD may,146,50,32,98
MOD is to ~ MOD shall,176,82,33,3
MOD can,186,72,11,1
MOD shall,152,41,26,1
MOD shall ~ PRES,91,35,21,3
FUT ~ MOD may,53,29,17,35
MOD would,74,18,20,8
IMPV ~ MOD let,29,21,41,21
PAST ~ PRES,56,22,25,8
MOD let ~ MOD may,17,10,56,21
PRES ~ PRES PART,60,20,12,4
PRES ~ PRES PERF,61,14,11,2
MOD should,63,12,4,4
FUT ~ MOD lest,49,23,0,0
MOD can ~ PRES,52,17,2,0
TO INF,23,15,11,22
FUT ~ MOD can,40,21,1,2
MOD may ~ PRES,36,10,9,7
PRES PERF,43,9,7,2
MOD may ~ MOD shall,28,19,7,4
IMPV ~ PRES,22,23,9,1
MOD can ~ MOD may,21,11,0,18
PRES PART,24,16,8,1
PRES ~ TO INF,23,9,7,6
MOD should ~ PRES,30,11,1,3
MOD can ~ MOD shall,32,10,0,2
FUT ~ MOD would,28,8,4,2
MOD must,25,7,4,2
MOD shall ~ TO INF,21,11,2,4
MOD could,28,8,0,2
PAST ~ PRES PERF,14,4,12,3
MOD may ~ TO INF,7,1,0,25
MOD shall ~ MOD should,26,5,0,0
IMPV ~ MOD may,13,8,4,5
FUT ~ TO INF,11,9,5,4
MOD would ~ PAST,7,14,8,0
MOD would ~ PRES,17,3,2,1
FUT ~ IMPV,6,6,8,3
MOD let ~ PRES,6,3,10,3
PAST ~ PRES PART,10,7,1,3
FUT ~ MOD let,6,3,8,4
MOD shall ~ PRES PART,12,5,2,1
MOD should ~ TO INF,16,2,0,1
MOD must ~ PRES,13,5,0,0
FUT ~ PRES PART,9,3,4,1
MOD let ~ TO INF,0,1,3,13
MOD lest ~ MOD may,11,5,0,0
PRES ~ PRES PROG,11,3,2,0
MOD let ~ MOD shall,6,2,6,1
FUT ~ PAST,5,7,1,2
IMPV ~ MOD must,10,2,2,0
MOD lest ~ PRES,10,4,0,0
MOD shall ~ PAST,9,4,1,0
MOD should ~ MOD would,6,4,2,2
PAST ~ TO INF,8,2,2,1
FUT ~ MOD should,9,3,0,0
HAB used to ~ PAST,9,3,0,0
MOD might,8,1,2,0
MOD may ~ MOD must,5,4,1,1
IMPV ~ MOD can,2,9,0,0
MOD is to,10,0,0,0
PAST ~ PAST PERF,6,3,1,0
MOD let ~ MOD must,1,4,3,1
MOD was to ~ PAST,8,0,0,1
MOD is to ~ MOD let,5,2,1,1
MOD can ~ MOD should,8,0,0,0
MOD let ~ PAST,1,1,5,1
MOD let ~ MOD should,6,0,1,1
MOD can ~ MOD could,4,3,1,0
IMPV ~ PAST,2,4,0,1
MOD could ~ MOD would,4,2,1,0
IMPV ~ MOD should,4,3,0,0
FUT ~ MOD must,3,3,1,0
MOD lest,5,0,0,2
MOD should ~ MOD was to,6,0,1,0
PAST PERF,2,4,1,0
IMPV ~ PRES PART,3,4,0,0
MOD might ~ MOD would,3,2,0,2
IMPV ~ TO INF,2,5,0,0
FUT ~ FUT going-to,5,0,0,1
PRES PART ~ TO INF,2,3,1,0
MOD lest ~ MOD might,6,0,0,0
MOD could ~ PAST,3,3,0,0
FUT ~ PRES PERF,4,0,2,0
MOD can ~ TO INF,3,2,0,1
MOD is to ~ MOD may,5,1,0,0
MOD may ~ PRES PART,1,3,0,2
MOD could ~ MOD might,2,2,1,1
FUT going-to ~ MOD shall,5,0,0,1
MOD shall ~ MOD would,5,1,0,0
?VB ~ MOD let,6,0,0,0
PAST ~ PAST PROG,3,3,0,0
MOD can ~ PRES PART,2,3,0,0
MOD VB ~ MOD may,2,2,1,0
MOD is to ~ MOD must,4,0,1,0
MOD might ~ TO INF,3,1,0,1
MOD can ~ MOD let,2,2,1,0
MOD lest ~ TO INF,5,0,0,0
MOD would ~ TO INF,4,1,0,0
MOD let ~ PRES PART,2,3,0,0
MOD might ~ PAST,1,0,1,3
MOD was to,2,3,0,0
MOD might ~ MOD should,3,1,1,0
MOD should ~ PAST,4,0,0,0
MOD VB ~ PRES,3,1,0,0
FUT ~ PRES PROG,2,0,1,1
IMPV ~ MOD lest,2,2,0,0
HAB used to,2,2,0,0
PAST PERF ~ PRES,2,0,1,1
MOD can ~ PAST,2,2,0,0
FUT ~ MOD is to,4,0,0,0
?VB ~ PAST,2,2,0,0
PRES PERF ~ TO INF,0,1,0,3
MOD could ~ MOD should,3,0,0,0
?VB,3,0,0,0
PAST PROG,1,2,0,0
MOD shall ~ PRES PERF,1,2,0,0
MOD can ~ MOD might,2,1,0,0
MOD could ~ MOD must,3,0,0,0
FUT PROG ~ PRES,2,1,0,0
MOD lest ~ MOD would,1,2,0,0
FUT ~ MOD that be,0,3,0,0
