,p3,p2,p1
FUT,0.28,0.14,26.79
FUT ~ MOD shall,4.86,0.48,0.06
PRES,1.86,0.7,0.53
IMPV ~ MOD shall,0.05,51.5,0.0
IMPV,0.0,656.7,0.0
MOD is to ~ MOD shall,5.75,0.42,0.0
PAST,2.37,0.17,1.07
MOD shall,5.51,0.38,0.06
MOD must ~ MOD shall,3.1,0.74,0.03
FUT ~ PRES,1.4,0.77,0.78
MOD may,0.66,2.32,0.51
PAST ~ PRES,12.17,0.05,0.21
MOD shall ~ PRES,2.01,0.88,0.24
FUT ~ MOD may,3.54,0.3,0.44
PRES PERF,1.35,1.17,0.4
MOD shall ~ TO INF,2.0,1.17,0.0
PRES ~ PRES PART,4.61,0.51,0.0
PRES ~ PRES PERF,2.67,0.7,0.17
MOD would,9.23,0.25,0.0
TO INF,0.86,1.65,0.58
FUT ~ MOD lest,1.6,0.58,0.86
MOD would ~ PAST,18.47,0.0,0.19
MOD may ~ TO INF,0.87,1.03,1.19
MOD may ~ PRES,3.4,0.49,0.21
MOD let,1.6,0.49,1.01
FUT ~ IMPV,0.58,2.14,0.8
PRES ~ TO INF,0.89,1.71,0.5
MOD may ~ MOD shall,1.25,1.47,0.25
PAST ~ PRES PART,inf,0.0,0.0
FUT ~ TO INF,0.62,0.98,1.95
MOD shall ~ PRES PART,1.33,1.76,0.0
IMPV ~ PRES,0.06,41.39,0.0
IMPV ~ MOD let,1.06,2.2,0.0
PRES PART,10.4,0.22,0.0
IMPV ~ TO INF,0.0,inf,0.0
PAST ~ PRES PERF,0.93,0.24,2.69
FUT ~ MOD let,0.4,0.0,8.64
FUT ~ PRES PART,0.8,0.59,2.15
MOD can ~ MOD may,1.4,1.1,0.43
FUT ~ MOD would,1.4,0.29,1.61
MOD can ~ MOD shall,0.34,6.86,0.0
MOD shall ~ PAST,1.6,1.47,0.0
MOD let ~ MOD shall,1.6,0.84,0.54
MOD is to ~ PRES,1.33,1.76,0.0
MOD is to ~ MOD let,5.59,0.42,0.0
MOD let ~ MOD may,1.33,0.98,0.61
FUT ~ PAST,1.33,0.0,2.58
MOD is to ~ PAST,inf,0.0,0.0
MOD lest ~ MOD may,0.32,1.17,3.22
PAST ~ TO INF,4.79,0.0,0.71
MOD lest ~ TO INF,1.99,1.17,0.0
PAST ~ PAST PROG,inf,0.0,0.0
MOD shall ~ PRES PERF,0.8,2.93,0.0
FUT ~ PRES PERF,0.4,1.46,2.15
IMPV ~ MOD lest,0.53,0.73,2.86
MOD shall ~ MOD would,0.53,0.0,6.45
MOD may ~ MOD must,3.19,0.0,1.07
MOD can,3.19,0.0,1.07
MOD would ~ PRES,1.2,0.73,1.07
IMPV ~ PAST,0.0,inf,0.0
MOD should ~ PRES,inf,0.0,0.0
HAB used to ~ PAST,inf,0.0,0.0
IMPV ~ MOD may,0.8,2.93,0.0
IMPV ~ MOD must,0.0,inf,0.0
PAST PERF,2.39,0.0,1.43
MOD shall ~ MOD should,0.27,0.98,4.3
FUT ~ MOD can,2.39,0.98,0.0
MOD let ~ TO INF,2.39,0.0,1.43
FUT ~ FUT PERF,0.0,0.98,12.9
MOD should,2.39,0.98,0.0
MOD could ~ MOD may,inf,0.0,0.0
PAST ~ PAST PERF,inf,0.0,0.0
MOD can ~ PRES,inf,0.0,0.0
MOD should ~ TO INF,1.6,1.46,0.0
IMPV ~ MOD would,inf,0.0,0.0
MOD VB ~ PRES,inf,0.0,0.0
MOD is to ~ TO INF,inf,0.0,0.0
HAB used to ~ MOD would,inf,0.0,0.0
HAB used to,inf,0.0,0.0
MOD was to,inf,0.0,0.0
FUT ~ FUT going-to,0.0,0.0,inf
IMPV ~ MOD is to,0.0,inf,0.0
MOD that be ~ TO INF,inf,0.0,0.0
MOD was to ~ PAST,inf,0.0,0.0
PRES ~ PRES PROG,0.0,inf,0.0
FUT ~ MOD must,inf,0.0,0.0
IMPV ~ PRES PART,0.0,inf,0.0
MOD would ~ PRES PART,inf,0.0,0.0
FUT going-to ~ MOD shall,0.0,inf,0.0
PRES PART ~ PRES PERF,inf,0.0,0.0
MOD may ~ PRES PART,0.8,2.93,0.0
MOD can ~ MOD let,inf,0.0,0.0
MOD lest ~ MOD might,inf,0.0,0.0
MOD may ~ MOD should,inf,0.0,0.0
MOD let ~ PRES,0.8,0.0,4.29
MOD must ~ PRES,inf,0.0,0.0
MOD let ~ MOD must,0.8,2.93,0.0
MOD lest ~ PRES PART,0.0,inf,0.0
MOD lest ~ MOD must,inf,0.0,0.0
MOD must ~ PRES PART,0.8,2.93,0.0
MOD is to ~ MOD may,0.0,inf,0.0
MOD let ~ PRES PART,0.0,0.0,inf
MOD should ~ MOD would,inf,0.0,0.0
MOD let ~ MOD should,0.0,0.0,inf
MOD let ~ MOD would,0.0,inf,0.0
MOD can ~ TO INF,inf,0.0,0.0
MOD would ~ PRES PROG,0.0,inf,0.0
FUT ~ MOD is to,inf,0.0,0.0
FUT ~ MOD VB,inf,0.0,0.0
MOD ~ MOD would,inf,0.0,0.0
MOD would ~ TO INF,inf,0.0,0.0
MOD must,inf,0.0,0.0
FUT ~ FUT PROG,0.0,inf,0.0
MOD might ~ MOD would,0.0,0.0,inf
PAST PROG ~ TO INF,inf,0.0,0.0
FUT PROG,inf,0.0,0.0
FUT ~ MOD should,0.0,0.0,inf
FUT ~ MOD that be,inf,0.0,0.0
