eng_TAMsimp,SBH,LBH
PAST,1.19,6.13
PAST ~ PRES PART,1.25,4.97
PAST ~ PAST PERF,1.27,4.74
PRES PERF,1.35,3.83
PAST ~ TO INF,1.17,7.0
PAST ~ PRES PERF,1.19,6.2
PAST PERF,1.18,6.5
PAST ~ PRES,1.16,7.33
PRES,1.22,5.6
PAST ~ PAST PROG,1.09,12.5
PRES PART,1.24,5.25
PRES ~ PRES PERF,1.2,6.0
MOD could ~ PAST,1.43,3.33
MOD would,1.0,inf
PAST PROG,1.0,inf
TO INF,1.67,2.5
MOD let ~ PAST,1.33,4.0
IMPV ~ PAST,1.0,inf
MOD would ~ PAST,1.0,inf
PAST PERF ~ PRES PART,1.5,3.0
PAST PERF ~ PRES PERF,1.0,inf
PRES PART ~ PRES PERF,1.5,3.0
FUT ~ PAST,1.0,inf
PAST ~ VB,1.5,3.0
PRES ~ PRES PROG,1.0,inf
MOD let,1.0,inf
FUT ~ PRES,1.0,inf
PRES PART ~ TO INF,1.0,inf
PRES PERF PROG,1.0,inf
PRES PERF ~ PRES PROG,1.0,inf
PRES PERF ~ TO INF,inf,1.0
??VB ~ PAST,inf,1.0
PAST ~ PAST PERF PROG,1.0,inf
PAST PROG ~ PRES PERF PROG,1.0,inf
PAST PROG ~ PRES PERF,1.0,inf
PAST PERF ~ TO INF,1.0,inf
MOD should ~ TO INF,inf,1.0
MOD should ~ MOD would,1.0,inf
MOD may ~ PAST,1.0,inf
MOD let ~ PRES PART,1.0,inf
MOD let ~ PRES,1.0,inf
MOD could ~ MOD might,1.0,inf
IMPV ~ PRES PART,1.0,inf
PAST PROG ~ PRES PART,1.0,inf
